product_id,category,price,brand,weight_kg,month,day_of_week,quarter,is_holiday,supplier,warehouse_location,discount_percent,stock_available,quantity_sold
4,Electronics,518.36,BrandC,2.27,2,5,1,0,SupplierC,Jakarta,29.52,32,22
78,Sports,289.4,BrandA,21.57,12,4,4,0,SupplierB,Surabaya,40.47,6,107
90,Clothing,74.65,BrandD,0.55,6,0,2,0,SupplierA,Medan,4.84,867,130
94,Electronics,897.1,BrandD,14.6,7,0,3,0,SupplierC,Surabaya,41.47,633,42
74,Food,71.93,BrandB,1.11,4,6,2,1,SupplierA,Bandung,43.32,389,500
21,Food,38.75,BrandC,13.47,12,5,4,0,SupplierC,Bandung,26.71,250,500
60,Clothing,61.29,BrandD,2.78,12,4,4,1,SupplierB,Jakarta,11.45,32,180
28,Electronics,476.41,BrandC,7.59,11,3,4,0,SupplierA,Surabaya,6.98,762,36
69,Sports,378.57,BrandC,13.02,10,3,4,0,SupplierB,Bandung,49.87,141,115
15,Electronics,1015.68,BrandB,11.92,7,4,3,0,SupplierA,Medan,19.08,479,29
33,Sports,346.54,BrandA,3.7,9,6,3,0,SupplierB,Surabaya,5.58,445,95
65,Food,53.23,BrandB,2.31,11,2,4,0,SupplierC,Bandung,7.64,780,377
70,Clothing,123.8,BrandA,1.52,2,2,1,0,SupplierB,Bandung,2.9,899,79
9,Furniture,241.23,BrandB,26.39,9,1,3,0,SupplierB,Medan,48.22,951,32
97,Sports,362.22,BrandB,12.15,11,5,4,0,SupplierB,Medan,44.98,462,217
3,Food,60.9,BrandB,0.34,12,5,4,1,SupplierA,Jakarta,42.98,72,500
31,Sports,341.11,BrandC,6.66,3,5,1,0,SupplierC,Medan,12.15,484,107
85,Electronics,660.59,BrandD,6.28,12,0,4,0,SupplierC,Jakarta,3.03,745,34
14,Food,23.2,BrandB,10.82,3,3,1,0,SupplierA,Surabaya,23.13,895,427
13,Sports,333.03,BrandA,16.36,1,0,1,0,SupplierA,Bandung,20.32,492,62
52,Clothing,41.28,BrandA,0.11,7,2,3,0,SupplierB,Surabaya,21.15,980,179
20,Furniture,426.38,BrandB,48.59,10,5,4,0,SupplierC,Jakarta,37.4,58,24
75,Electronics,853.71,BrandD,12.82,3,0,1,0,SupplierC,Jakarta,42.57,70,32
52,Clothing,188.9,BrandA,1.75,10,4,4,0,SupplierA,Jakarta,20.96,597,107
67,Sports,468.66,BrandC,6.37,12,2,4,1,SupplierB,Bandung,33.58,307,114
2,Electronics,1007.51,BrandD,8.53,2,0,1,0,SupplierC,Bandung,25.29,135,24
9,Food,40.11,BrandB,3.32,9,5,3,0,SupplierB,Jakarta,33.39,567,429
34,Clothing,179.05,BrandA,2.25,3,2,1,0,SupplierB,Bandung,35.88,208,180
65,Food,28.86,BrandD,18.18,1,0,1,0,SupplierB,Jakarta,0.18,789,243
95,Clothing,114.82,BrandD,1.34,1,0,1,1,SupplierC,Bandung,27.28,854,196
75,Food,45.83,BrandB,1.03,6,6,2,0,SupplierA,Surabaya,10.5,255,321
53,Sports,464.37,BrandB,7.33,3,6,1,0,SupplierA,Medan,1.24,754,68
53,Food,30.35,BrandB,15.79,2,3,1,0,SupplierA,Medan,11.12,836,245
29,Clothing,135.41,BrandA,1.26,5,6,2,1,SupplierB,Surabaya,32.07,409,309
43,Sports,75.36,BrandA,29.12,3,4,1,0,SupplierB,Jakarta,5.42,444,88
78,Furniture,523.71,BrandA,30.95,5,0,2,0,SupplierA,Bandung,18.21,71,34
80,Food,68.02,BrandC,2.67,5,4,2,1,SupplierB,Surabaya,20.12,302,440
87,Furniture,777.07,BrandB,18.54,9,6,3,0,SupplierA,Surabaya,14.35,440,21
78,Sports,243.19,BrandC,13.43,4,4,2,0,SupplierC,Bandung,32.94,290,125
12,Food,68.92,BrandB,4.65,4,1,2,1,SupplierA,Medan,30.56,786,500
59,Electronics,1351.98,BrandD,8.72,12,5,4,1,SupplierB,Bandung,7.38,704,59
100,Electronics,484.49,BrandD,12.1,12,4,4,0,SupplierC,Bandung,45.87,124,65
18,Furniture,834.34,BrandD,49.46,10,2,4,0,SupplierB,Medan,41.53,561,22
58,Furniture,926.95,BrandC,42.79,5,6,2,0,SupplierB,Bandung,13.73,79,27
31,Food,36.91,BrandC,17.88,2,1,1,0,SupplierA,Bandung,19.15,156,231
43,Furniture,557.35,BrandD,14.31,7,3,3,0,SupplierC,Jakarta,42.84,783,26
49,Sports,22.83,BrandD,10.75,7,6,3,0,SupplierB,Bandung,24.41,279,158
86,Food,73.8,BrandD,16.84,3,4,1,0,SupplierC,Jakarta,45.35,606,363
85,Sports,60.29,BrandA,13.03,8,1,3,0,SupplierA,Surabaya,18.96,216,108
36,Furniture,377.5,BrandD,8.69,1,5,1,0,SupplierB,Bandung,32.51,799,23
97,Electronics,1434.5,BrandA,3.15,1,4,1,1,SupplierA,Medan,33.47,577,29
99,Food,20.94,BrandC,12.22,12,5,4,1,SupplierA,Surabaya,5.4,26,375
74,Food,42.68,BrandD,14.36,2,4,1,0,SupplierC,Bandung,5.1,791,176
73,Electronics,651.36,BrandA,6.54,6,0,2,0,SupplierC,Surabaya,0.63,430,32
14,Furniture,1156.87,BrandD,33.6,8,5,3,0,SupplierA,Medan,8.81,534,19
100,Sports,243.14,BrandD,24.82,10,2,4,0,SupplierB,Bandung,41.54,88,129
58,Food,76.3,BrandB,11.48,11,3,4,0,SupplierB,Jakarta,24.72,332,420
44,Food,88.63,BrandC,14.08,5,4,2,1,SupplierA,Jakarta,12.07,416,424
72,Furniture,859.67,BrandB,34.07,8,3,3,0,SupplierA,Jakarta,14.71,414,17
48,Sports,285.67,BrandD,10.51,12,4,4,1,SupplierC,Medan,13.55,257,150
16,Clothing,69.95,BrandB,2.25,12,1,4,1,SupplierC,Medan,13.82,603,340
13,Food,33.14,BrandB,7.35,5,0,2,0,SupplierA,Surabaya,2.28,55,346
38,Sports,326.18,BrandB,22.66,2,6,1,0,SupplierA,Surabaya,23.47,451,67
62,Food,83.1,BrandA,8.13,2,4,1,0,SupplierC,Jakarta,7.59,830,208
39,Sports,497.08,BrandA,3.82,7,4,3,0,SupplierC,Bandung,38.78,389,81
55,Sports,292.94,BrandC,2.09,12,0,4,0,SupplierA,Bandung,13.23,83,136
31,Clothing,114.88,BrandB,0.55,7,3,3,0,SupplierC,Medan,14.56,237,138
10,Furniture,1116.3,BrandB,40.45,11,4,4,0,SupplierC,Bandung,21.26,557,26
83,Clothing,182.6,BrandB,2.5,2,0,1,0,SupplierA,Surabaya,29.75,844,86
60,Electronics,1109.65,BrandC,14.15,9,4,3,0,SupplierB,Medan,4.02,40,13
95,Furniture,764.09,BrandC,6.16,4,5,2,0,SupplierC,Jakarta,49.98,688,45
61,Clothing,184.05,BrandD,0.63,10,3,4,0,SupplierC,Medan,48.45,481,135
53,Food,35.5,BrandC,2.27,3,2,1,0,SupplierB,Medan,14.41,967,253
59,Electronics,608.87,BrandA,4.98,7,6,3,0,SupplierC,Jakarta,32.88,555,54
53,Furniture,306.34,BrandA,21.28,8,5,3,0,SupplierB,Jakarta,10.18,562,28
16,Furniture,1170.46,BrandA,32.4,4,5,2,1,SupplierC,Jakarta,27.61,95,38
15,Clothing,189.94,BrandD,1.98,3,3,1,0,SupplierC,Surabaya,25.44,279,110
32,Furniture,706.39,BrandD,22.26,10,4,4,0,SupplierC,Bandung,43.2,282,28
44,Furniture,1002.6,BrandC,17.73,5,6,2,0,SupplierC,Medan,43.26,457,30
98,Sports,238.57,BrandD,9.86,4,5,2,1,SupplierB,Bandung,42.8,420,263
41,Electronics,1116.8,BrandD,12.21,7,5,3,0,SupplierC,Bandung,24.77,37,27
13,Food,14.47,BrandD,18.23,1,5,1,1,SupplierC,Bandung,3.74,800,424
44,Food,66.73,BrandD,17.06,11,6,4,0,SupplierC,Medan,47.71,641,500
5,Sports,132.69,BrandA,20.63,5,1,2,0,SupplierB,Jakarta,38.02,720,139
57,Electronics,1102.2,BrandB,13.57,1,2,1,0,SupplierB,Surabaya,18.74,149,20
22,Clothing,25.0,BrandB,2.63,10,5,4,0,SupplierA,Medan,45.64,146,339
60,Clothing,97.32,BrandC,2.03,8,2,3,0,SupplierC,Bandung,3.69,967,115
89,Furniture,602.52,BrandC,18.6,7,6,3,0,SupplierB,Jakarta,11.86,585,27
74,Food,99.31,BrandC,6.05,11,3,4,0,SupplierB,Jakarta,28.3,702,387
96,Sports,419.76,BrandD,27.12,4,4,2,0,SupplierA,Bandung,31.04,694,76
